Feature ID	KD001	KD002	KD003	KD004	KD005	KD006	KD007	KD008	KD009	KD010	KD011	KD012	KD013	KD014	KD015	KD016	KD017	KD018	KD019	KD020	KD021	KD022	KD023	KD024	KD025	KD026	KD027	KD028	KD029	KD030	KD031	KD032	KD033	KD034	KD035	KD036	KD037	KD038	KD039	KD040	KD041	KD042	KD043	KD044	KD045	KD046	KD047	KD048	KD049	KD050	KD051	KD052	KD053	KD054	KD055	KD056	KD057	KD058	KD059	KD060	KD061
9908fffab7ed4f3bec44cda2f5084d49	0	0	0	0	0	0	0	0	0	21	0	0	58	90	0	82	0	0	0	0	122	38	62	58	787	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	225	60	249	67	17	175	350	1872	960	0	1312	25	687	0	6432
35fbbf467028ce4e6d97fd309461f30b	0	0	88	0	17	106	0	1364	17	0	773	60	766	541	0	679	69	0	106	993	0	64	25	405	353	0	0	1088	32	98	0	139	64	422	285	0	42	101	0	319	65	155	39	355	67	188	1134	0	0	80	63	786	45	209	54	0	663	298	339	439	0
9a13cbb8e1b12468bf22d6a05aafb0c0	0	0	157	0	35	232	0	1105	0	74	678	63	570	661	0	911	56	65	0	414	0	84	263	86	479	0	43	1044	35	51	79	82	100	453	221	31	145	69	39	511	37	247	71	413	42	66	742	0	23	118	38	1836	0	278	38	0	358	87	225	319	0
f9301953e6a6de59f3fb606a562b3cc8	0	0	7	0	8	80	0	845	13	473	599	98	1055	1054	163	1739	107	0	0	354	0	0	65	260	162	179	87	881	0	87	13	67	0	216	46	5	152	137	45	395	210	133	37	409	142	11	522	0	0	67	16	424	8	347	63	91	239	41	862	642	0
6b7ddeca6c2fa75224dba90916b0bece	0	0	152	133	195	133	762	214	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	247	153	0	0	869	413	1541	477	186	308	212	555	88	0	0	0	0	0	0	0	0	0	218	69	0	0	0	0	57	0	424	2529	2146	179	152	801	0	98
4feb426703234389503a7b994773d50c	0	0	0	0	23	0	387	540	13	252	611	105	827	690	33	1693	21	416	0	373	0	31	223	13	123	585	156	659	11	80	0	0	11	185	127	0	146	47	18	521	27	239	60	391	88	88	650	0	56	52	19	220	0	626	63	0	165	157	956	629	0
d6443ae1b639b169177263669b3256d9	0	0	34	0	0	303	347	2123	0	0	201	29	332	353	91	979	101	54	0	417	0	30	48	167	428	212	257	856	0	84	45	48	63	291	118	22	107	41	21	107	0	58	20	419	65	0	1102	0	62	74	57	688	0	442	95	995	391	0	316	114	0
1eb2548c06727d3c1745e7db394cfd56	0	0	0	175	43	54	0	2328	24	0	533	16	504	465	127	763	44	0	30	303	0	138	64	47	572	359	92	1319	0	76	55	293	91	318	191	0	67	24	6	195	39	140	0	210	38	49	600	21	11	31	14	649	0	123	47	190	423	380	416	309	0
0df6c802966e8670279671824da4f10a	0	0	0	0	0	31	273	772	0	145	837	98	694	396	80	659	0	0	0	48	36	27	135	241	442	119	366	863	0	77	26	217	381	208	150	0	83	55	0	239	61	210	91	261	66	429	1012	15	44	63	81	757	19	365	75	372	453	189	476	135	0
0c1328b680e719088d574634057e9944	0	17	0	0	0	26	181	423	10	127	178	143	876	538	138	439	0	7	0	115	0	0	0	42	404	820	194	534	0	90	0	398	0	339	55	0	190	76	62	57	7	29	0	296	145	0	617	0	0	100	64	1356	12	343	0	302	761	249	1774	124	0
9fec7bdd6bd88e710bd69b15692e54a0	0	0	13	0	0	18	0	133	0	317	344	137	1204	1424	199	1802	41	367	0	0	0	0	34	215	29	0	137	181	0	0	0	0	47	73	0	0	240	163	13	464	195	111	195	775	159	0	0	0	0	17	0	255	0	0	0	273	102	0	1234	1425	0
acccab8e28b5e2cfc41fb8ae64cbf978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5075	0	5782	0	1466	0	0
129500150cad877075ed12b0c9424282	0	0	29	0	44	37	1116	1123	27	0	618	89	654	523	40	1014	118	0	0	141	16	0	46	159	206	0	18	1129	0	30	0	365	136	361	241	0	45	18	15	57	32	76	8	138	66	10	1301	0	0	87	17	777	11	338	20	95	354	194	125	120	0
68262884f1021c896f8e1bf7348d773c	9	19	102	573	97	336	604	86	20	125	95	103	18	39	50	18	52	145	205	619	190	67	179	1205	1080	409	439	711	74	96	137	112	190	53	334	44	26	12	11	188	128	6	0	12	3	88	577	47	143	38	14	329	13	736	214	138	308	120	183	57	0
e4597f1dce864c29882fa64f616d1a6c	0	0	35	0	48	175	109	475	0	176	724	66	971	504	48	812	0	58	0	404	0	44	177	104	148	635	52	656	0	304	0	78	52	168	38	16	113	76	0	349	21	277	106	227	67	36	485	0	0	83	34	928	0	444	0	370	616	257	361	88	0
22b3c70cdfb1714224e1bf8a6314bee9	0	0	38	461	164	152	0	162	9	40	54	0	56	17	0	0	0	0	726	88	0	0	0	0	0	0	0	587	249	1297	296	329	157	160	300	38	0	0	0	0	0	33	0	49	0	295	0	211	48	38	0	155	46	612	1700	2118	99	0	1184	0	0
0e6645acd71bc7e1dc285638b8c3b44b	0	0	74	199	28	41	0	830	24	84	1225	15	692	520	41	774	0	0	100	307	0	39	140	122	148	88	395	668	17	90	41	126	49	341	78	0	60	48	0	289	27	206	38	90	57	84	803	34	9	23	0	1004	0	313	102	0	561	144	319	430	0
d15bc449222795a9ff230013aa633686	12	0	0	0	0	0	0	0	0	511	250	130	889	1117	109	2912	505	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	112	36	348	163	100	99	642	72	0	0	38	0	0	0	0	0	286	327	0	0	0	1018	999	0
c41e38ec0abb37da79acd32fd3cd7c66	0	0	87	250	97	108	114	737	39	74	11	109	62	105	0	58	139	332	268	0	0	0	28	0	39	435	27	976	316	562	244	96	377	199	895	58	22	0	23	0	0	0	10	132	54	250	108	0	40	29	0	0	0	101	1914	280	0	0	1838	56	0
c1def48b42e159b33dd366fb124ea638	0	0	0	0	30	64	682	909	0	82	299	61	778	716	16	905	127	0	99	372	0	0	223	102	46	0	31	275	19	209	9	170	97	141	176	0	96	87	31	334	17	100	5	307	26	13	671	0	0	71	0	589	0	0	108	619	524	340	439	373	0
5b21b634343b33d4de467b62da7ebbf0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2363	0	7793	0	1026	0	0
04f5947e3f8d4cc43b9a50a6ac7749ab	0	0	0	0	118	0	0	1275	0	0	963	0	908	341	150	643	161	0	0	150	0	0	0	0	138	1299	100	549	57	136	108	159	40	177	166	0	45	0	0	110	0	44	73	233	32	63	265	0	0	0	0	431	0	74	185	814	570	0	406	163	0
3e86e9620a4aceb493a34d5c47723513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	264	359	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	81	35	0	0	104	854	0	0	102	60	86	0	8227
df3a540f09c1e5ddac171aaeac341297	0	0	0	0	0	0	0	0	0	447	525	76	995	1219	90	3244	127	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	114	64	673	0	189	107	623	117	0	0	0	0	0	0	0	0	0	0	0	0	0	893	700	0
fdbff060c0adc3184b21540df9bbbee1	0	0	14	0	26	42	258	1161	28	20	387	19	476	312	61	597	7	20	0	312	0	57	152	435	322	157	168	627	6	20	86	99	22	241	11	18	68	17	6	184	18	92	39	148	39	17	641	3	4	59	7	628	7	1235	48	242	274	92	301	135	0
d27a7938be9be7fcde444b0d8a1e7f84	0	0	52	0	32	55	0	125	31	108	468	24	412	189	36	674	135	0	47	433	0	0	184	285	52	1014	152	491	44	134	198	163	177	150	38	33	63	89	0	307	139	56	76	253	41	209	735	0	0	25	0	841	25	284	180	186	411	134	181	208	0
b00c3432b2ba4ccb41e22cbf1f9e336d	0	0	0	0	0	0	0	398	0	46	151	50	592	561	130	1004	87	0	0	548	0	99	0	0	0	880	0	783	0	0	0	147	26	316	42	0	185	79	0	404	59	141	50	82	56	139	392	0	0	115	0	887	0	0	0	0	485	35	627	642	0
